Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,529,492,513,353,365,346,0,0,0
GUU,BE,3,10,21,17,13,21,0,0,0
GUU,BE,496,380,350,255,286,272,0,0,0
GUU,BE,6,44,54,34,29,18,0,0,0
GUU,BE,15,30,48,24,23,21,0,0,0
GUU,BE,9,28,41,22,14,14,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,19,16,9,9,5,8,0,0,0
GUU,BE,0,1,0,0,0,0,0,0,0
GUU,BE,18,16,9,9,5,7,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
